GRMZM2G151015	GRMZM2G575566	GRMZM2G055209	GRMZM2G101707	GRMZM2G159744	GRMZM2G449817	GRMZM2G109009	GRMZM2G103526	GRMZM2G169114	GRMZM2G169089	GRMZM2G331283	GRMZM2G029685	GRMZM2G029506	GRMZM2G093391	GRMZM2G179638	GRMZM2G050875	GRMZM2G050917	GRMZM5G836341	GRMZM2G404453	GRMZM2G384897	GRMZM2G141325	GRMZM2G701044	gamma	alpha	total	ratio
-0.767246816	-1.117953259	0.965610478	-0.603470624	0.112627241	0.628171949	1.143773961	0.74010031	0.595318735	1.441453795	-0.446977502	-1.255660378	-0.713488578	-1.441453795	0.279460686	-1.044626445	1.068431117	-0.003405752	-2.998020796	0.315058297	-0.230202032	0.387522319	0.629242655	0.142094136	0.61777576	-0.243123658
1.044626445	0.446977502	-0.523619123	-0.547203211	-1.117953259	0.119484771	-0.272384894	0.892205847	-0.112627241	-0.380190046	-0.687372812	0.892205847	1.726602201	0.329407333	0.237202109	1.143773961	-2.998020796	1.240815502	-2.645701413	-2.998020796	-0.195363108	-0.071581727	-0.433318462	1.122216862	-0.2969845	1.078966557
-1.591873889	-2.998020796	-0.372878156	-0.195363108	-0.987557182	0.882109877	-0.003405752	-0.484942137	0.343824517	-0.508057465	-1.032943298	-0.387522319	-0.882109877	-2.998020796	-1.143773961	0.469675385	1.197842699	0.944119285	0.098927729	0.670220259	-0.209267873	-2.998020796	0.113537393	0.204399359	0.142094136	0.023605095
0.976525035	0.439462999	0.469675385	-0.785662535	0.133217035	-0.244213829	0.862182757	0.776421761	0.35105981	0.133217035	-0.307908216	-1.441453795	-0.976525035	0.112627241	-1.068431117	0.023842473	1.318010897	0.133217035	0.469675385	2.104600628	-0.661717677	-0.09208509	-0.407534012	-0.0803362	-0.52873857	0.170767252
-0.636490883	0.636490883	0.064754379	-0.477294855	0.477294855	-0.237202109	0.696025208	1.301946185	0.085246759	0.954809756	-0.078412413	0.555132042	1.270787244	0.882109877	0.670220259	1.080563549	1.902810954	0.265322712	-0.153863466	-2.645701413	2.249880663	1.044626445	-0.606389528	0.724226725	-0.287131937	1.131121951
0.202310601	-0.160759774	1.301946185	0.852346618	0.842592259	0.6448541	1.105318189	-0.563095926	0.293654744	2.468001988	1.130769373	-1.270787244	0.003405752	0.153863466	0.823319923	0.595318735	1.48107362	1.862731867	-2.468001988	0.785662535	0.315058297	0.057930049	-1.514324716	1.767092096	0.047223351	2.767447322
0.862182757	-0.140092436	-0.216235289	1.130769373	0.023842473	0.579132162	-0.508057465	0.611662814	0.74010031	0.140092436	1.697120332	-1.156974916	0.037471962	-1.403975696	0.251237576	0.484942137	2.104600628	-0.300773842	-2.345104662	-0.098927729	0.571095686	-0.119484771	-2.313127487	1.379929715	-1.053958164	2.478795829
-0.45451733	0.265322712	-0.098927729	-2.249880663	0.216235289	-0.902393588	-0.188425032	1.130769373	-1.351202935	-0.09208509	-2.998020796	0.071581727	2.045954276	0.862182757	-0.202310601	1.318010897	-0.085246759	0.678771572	0.7490877	-2.468001988	0.933535639	1.255660378	-1.235693527	1.610243846	-0.170767252	1.86524627
0.492617885	2.104600628	-0.160759774	-0.105775004	-1.568142731	0.017029548	-0.563095926	-0.209267873	-0.078412413	0.057930049	0.057930049	0.153863466	-0.057930049	1.441453795	-0.628171949	-0.372878156	0.595318735	-0.469675385	-2.249880663	0.547203211	1.441453795	-0.195363108	-1.627748831	0.165979278	-1.560490269	1.627748831
0.704730028	-1.286210621	-0.555132042	-0.842592259	-1.318010897	1.616536998	-0.731172307	-1.117953259	0.83291742	-1.568142731	-0.500322766	-0.539308633	1.056453949	0.539308633	-1.523165155	-0.343824517	-2.645701413	1.080563549	0.987557182	-2.345104662	-2.045954276	-2.645701413	0.846339344	-0.755258053	0.65242926	-1.078966557
