GRMZM2G132577	GRMZM2G700683	GRMZM2G106479	GRMZM2G136765	GRMZM2G409343	GRMZM5G852338	GRMZM2G170628	GRMZM2G170632	GRMZM2G116083	GRMZM2G013448	GRMZM5G851965	GRMZM2G012966	GRMZM2G165428	AC196426.3_FG007	GRMZM2G096655	GRMZM2G395771	GRMZM2G096764	GRMZM2G050553	GRMZM2G027333	gamma	alpha	total	ratio
-0.286550499	1.48107362	1.021399468	-0.704730028	0.852346618	0.365586148	0.010217413	0.380190046	-2.171527717	-1.946202375	1.441453795	0.51582268	1.591873889	0.307908216	0.462083086	1.616536998	-0.160759774	-0.563095926	-0.265322712	0.629242655	0.142094136	0.61777576	-0.243123658
0.603470624	-0.696025208	1.403975696	0.424507616	0.265322712	1.790524917	-0.6448541	-0.140092436	0.531447525	1.616536998	1.318010897	0.842592259	-0.687372812	0.462083086	0.258273739	-0.202310601	-0.133217035	-1.117953259	1.403975696	-0.433318462	1.122216862	-0.2969845	1.078966557
-0.071581727	0.587206217	0.862182757	0.83291742	1.021399468	1.545263217	-0.687372812	-0.230202032	0.687372812	0.636490883	1.240815502	1.270787244	0.595318735	0.35105981	0.160759774	0.767246816	0.09208509	-0.531447525	1.286210621	0.113537393	0.204399359	0.142094136	0.023605095
0.251237576	0.670220259	0.365586148	0.603470624	0.6448541	0.322224522	-0.45451733	-0.43197323	-1.825439172	0.023842473	1.385954264	0.030656506	-0.45451733	0.300773842	0.628171949	1.591873889	0.126347925	0.078412413	-0.237202109	-0.407534012	-0.0803362	-0.52873857	0.170767252
1.318010897	0.531447525	0.813797671	0.030656506	0.098927729	0.315058297	0.696025208	-0.181496015	-2.249880663	-0.51582268	1.044626445	0.987557182	0.343824517	-0.064754379	-0.872103029	-2.998020796	0.010217413	-0.409646587	0.230202032	-0.606389528	0.724226725	-0.287131937	1.131121951
-0.237202109	0.872103029	0.531447525	-0.126347925	0.661717677	0.976525035	-0.595318735	0.603470624	-0.704730028	-0.944119285	1.270787244	0.678771572	0.678771572	0.813797671	-0.7490877	-2.645701413	0.882109877	-0.023842473	0.852346618	-1.514324716	1.767092096	0.047223351	2.767447322
0.446977502	-0.687372812	1.009990169	0.687372812	-0.508057465	-0.105775004	0.91267586	0.160759774	0.965610478	1.068431117	0.174575701	0.300773842	-0.547203211	0.776421761	1.105318189	-0.446977502	-0.003405752	-0.336607179	-0.380190046	-2.313127487	1.379929715	-1.053958164	2.478795829
-0.661717677	0.619896262	-0.696025208	-1.170380633	0.767246816	0.83291742	-1.351202935	0.153863466	0.293654744	-2.045954276	-0.237202109	-1.197842699	-0.722302208	-0.446977502	-1.441453795	0.258273739	-0.619896262	-1.211918765	-0.146974467	-1.235693527	1.610243846	-0.170767252	1.86524627
-0.272384894	-1.501786817	-0.500322766	1.156974916	1.156974916	-0.003405752	-0.446977502	-1.726602201	0.731172307	0.251237576	0.417065588	0.017029548	0.628171949	-0.469675385	-0.477294855	-2.468001988	-1.021399468	-0.216235289	0.195363108	-1.627748831	0.165979278	-1.560490269	1.627748831
-0.611662814	-0.944119285	1.757666049	-0.237202109	-0.862182757	-0.603470624	-0.531447525	-1.460977052	0.882109877	0.126347925	-0.023842473	-0.133217035	-1.170380633	-1.021399468	1.726602201	-2.345104662	1.351202935	1.351202935	0.842592259	0.846339344	-0.755258053	0.65242926	-1.078966557
