GRMZM2G132577	GRMZM2G700683	GRMZM2G106479	GRMZM2G136765	GRMZM2G409343	GRMZM5G852338	GRMZM2G170628	GRMZM2G170632	GRMZM2G116083	GRMZM2G013448	GRMZM5G851965	GRMZM2G012966	GRMZM2G165428	AC196426.3_FG007	GRMZM2G096655	GRMZM2G395771	GRMZM2G096764	GRMZM2G050553	GRMZM2G027333
-0.286550499	1.48107362	1.021399468	-0.704730028	0.852346618	0.365586148	0.010217413	0.380190046	-2.171527717	-1.946202375	1.441453795	0.51582268	1.591873889	0.307908216	0.462083086	1.616536998	-0.160759774	-0.563095926	-0.265322712
0.603470624	-0.696025208	1.403975696	0.424507616	0.265322712	1.790524917	-0.6448541	-0.140092436	0.531447525	1.616536998	1.318010897	0.842592259	-0.687372812	0.462083086	0.258273739	-0.202310601	-0.133217035	-1.117953259	1.403975696
-0.071581727	0.587206217	0.862182757	0.83291742	1.021399468	1.545263217	-0.687372812	-0.230202032	0.687372812	0.636490883	1.240815502	1.270787244	0.595318735	0.35105981	0.160759774	0.767246816	0.09208509	-0.531447525	1.286210621
0.251237576	0.670220259	0.365586148	0.603470624	0.6448541	0.322224522	-0.45451733	-0.43197323	-1.825439172	0.023842473	1.385954264	0.030656506	-0.45451733	0.300773842	0.628171949	1.591873889	0.126347925	0.078412413	-0.237202109
1.318010897	0.531447525	0.813797671	0.030656506	0.098927729	0.315058297	0.696025208	-0.181496015	-2.249880663	-0.51582268	1.044626445	0.987557182	0.343824517	-0.064754379	-0.872103029	-2.998020796	0.010217413	-0.409646587	0.230202032
-0.237202109	0.872103029	0.531447525	-0.126347925	0.661717677	0.976525035	-0.595318735	0.603470624	-0.704730028	-0.944119285	1.270787244	0.678771572	0.678771572	0.813797671	-0.7490877	-2.645701413	0.882109877	-0.023842473	0.852346618
0.446977502	-0.687372812	1.009990169	0.687372812	-0.508057465	-0.105775004	0.91267586	0.160759774	0.965610478	1.068431117	0.174575701	0.300773842	-0.547203211	0.776421761	1.105318189	-0.446977502	-0.003405752	-0.336607179	-0.380190046
-0.661717677	0.619896262	-0.696025208	-1.170380633	0.767246816	0.83291742	-1.351202935	0.153863466	0.293654744	-2.045954276	-0.237202109	-1.197842699	-0.722302208	-0.446977502	-1.441453795	0.258273739	-0.619896262	-1.211918765	-0.146974467
0.923055543	-1.993601218	-2.249880663	-2.998020796	-0.365586148	-2.045954276	0.776421761	-2.345104662	-0.628171949	0.91267586	-2.998020796	2.998020796	2.998020796	-2.998020796	2.998020796	-0.500322766	-2.645701413	-2.045954276	0.477294855
1.591873889	1.130769373	0.923055543	0.862182757	0.678771572	0.085246759	0.160759774	-0.329407333	-1.368372038	-0.484942137	-0.098927729	-1.422465003	-0.230202032	0.202310601	0.078412413	2.045954276	0.842592259	0.6448541	-0.6448541
-0.446977502	-0.933535639	0.661717677	-1.616536998	0.696025208	0.758136008	-0.307908216	0.064754379	0.713488578	-1.697120332	0.595318735	-0.579132162	0.251237576	-0.713488578	-0.484942137	-2.249880663	-0.653262666	-1.226239142	-1.403975696
2.104600628	0.181496015	1.669043821	2.998020796	2.468001988	0.842592259	-0.064754379	-0.272384894	-0.892205847	0.237202109	0.293654744	1.441453795	-0.202310601	-0.439462999	-0.43197323	-0.758136008	0.998710851	1.669043821	1.368372038
2.998020796	0.776421761	0.678771572	1.255660378	0.944119285	0.852346618	1.226239142	-1.009990169	-0.731172307	2.045954276	0.785662535	0.322224522	-0.767246816	-0.380190046	1.156974916	-0.293654744	0.329407333	0.140092436	1.441453795
-0.508057465	-0.731172307	0.343824517	-0.611662814	-0.882109877	-1.642224543	-0.670220259	-1.092857156	-0.307908216	-1.105318189	-0.230202032	-0.944119285	0.74010031	-0.813797671	-0.722302208	1.790524917	-0.998710851	-1.270787244	-1.48107362
0.146974467	0.272384894	1.642224543	0.852346618	-0.547203211	-0.636490883	-1.211918765	-0.174575701	-0.030656506	-0.044289159	1.422465003	0.547203211	-0.223213218	-0.555132042	-0.300773842	0.462083086	-0.500322766	-1.726602201	-1.080563549
-0.209267873	0.230202032	0.794970891	-0.286550499	1.032943298	0.424507616	-0.469675385	-0.146974467	-0.91267586	-2.468001988	0.258273739	-1.130769373	-0.023842473	-1.240815502	1.351202935	-2.104600628	-1.946202375	-2.645701413	-0.611662814
0.579132162	0.140092436	-0.153863466	0.462083086	0.251237576	-0.547203211	0.380190046	0.424507616	-1.946202375	-0.446977502	0.462083086	-0.484942137	0.43197323	0.329407333	0.987557182	0.017029548	-0.539308633	-1.422465003	0.181496015
0.160759774	1.501786817	0.358313528	-1.184000049	0.195363108	-0.394875486	-1.33442315	0.446977502	-0.146974467	0.098927729	1.790524917	-0.358313528	0.181496015	0.195363108	-0.35105981	-2.045954276	0.085246759	-0.417065588	1.170380633
1.056453949	0.417065588	0.078412413	-0.119484771	0.244213829	-0.563095926	-0.188425032	1.422465003	-1.170380633	1.403975696	0.823319923	1.286210621	-0.078412413	1.143773961	-0.713488578	-0.071581727	0.722302208	0.394875486	1.044626445
-0.223213218	-0.603470624	1.862731867	1.757666049	0.842592259	2.645701413	-2.998020796	-0.713488578	0.722302208	0.279460686	-2.468001988	0.279460686	0.223213218	0.098927729	-0.91267586	-1.993601218	-0.329407333	-0.439462999	1.385954264
-1.021399468	0.037471962	0.696025208	0.731172307	0.7490877	-0.417065588	-2.645701413	0.731172307	-1.385954264	0.539308633	1.092857156	1.825439172	-0.35105981	1.545263217	-0.251237576	0.424507616	0.209267873	0.555132042	-0.044289159
-0.555132042	-0.044289159	0.892205847	0.202310601	0.230202032	1.523165155	-0.523619123	-0.336607179	0.329407333	1.105318189	0.804348643	0.595318735	0.272384894	0.078412413	-0.636490883	-1.946202375	-0.167663737	-1.156974916	-0.500322766
0.293654744	-0.322224522	1.568142731	1.422465003	-1.240815502	-0.336607179	1.757666049	-1.48107362	0.146974467	-1.080563549	0.678771572	0.105775004	-0.195363108	0.293654744	-0.813797671	0.954809756	1.255660378	-1.170380633	0.611662814
-0.91267586	0.944119285	-0.43197323	0.965610478	0.409646587	0.140092436	-1.286210621	0.322224522	-0.661717677	-0.987557182	0.722302208	0.852346618	-0.085246759	0.343824517	-0.892205847	-1.902810954	1.403975696	-0.872103029	-1.33442315
-0.882109877	-1.368372038	-0.492617885	-1.862731867	0.322224522	0.244213829	0.661717677	-1.270787244	2.045954276	0.300773842	-0.424507616	-0.587206217	-0.237202109	-1.946202375	-0.098927729	-1.862731867	-1.790524917	-0.758136008	-0.181496015
0.595318735	0.687372812	0.976525035	-0.571095686	1.403975696	0.603470624	0.085246759	-0.785662535	-2.104600628	-1.130769373	-0.402250065	0.43197323	1.170380633	0.209267873	0.126347925	1.368372038	-0.017029548	-0.146974467	-0.563095926
-0.293654744	0.105775004	-1.255660378	1.240815502	-0.74010031	-1.143773961	1.056453949	-0.477294855	0.976525035	0.83291742	-2.345104662	-0.265322712	0.105775004	0.571095686	1.403975696	1.092857156	-1.184000049	-0.500322766	0.862182757
-0.146974467	0.119484771	0.704730028	-1.156974916	0.954809756	1.130769373	-0.477294855	0.394875486	-0.078412413	0.044289159	1.009990169	0.477294855	0.010217413	-0.687372812	-1.032943298	-1.825439172	-0.322224522	-0.74010031	0.293654744
0.872103029	-2.249880663	-1.368372038	-2.249880663	-2.171527717	-2.104600628	0.492617885	-1.318010897	1.184000049	0.394875486	0.010217413	1.501786817	0.696025208	-1.757666049	1.255660378	-0.372878156	-0.731172307	0.293654744	-0.230202032
-0.010217413	-0.078412413	0.030656506	-1.286210621	0.51582268	-0.372878156	-0.492617885	0.6448541	-0.933535639	0.7490877	-0.315058297	0.696025208	0.126347925	0.322224522	-0.794970891	-1.790524917	-0.188425032	-0.202310601	-0.687372812
0.571095686	-1.226239142	-1.092857156	0.230202032	-0.653262666	-0.51582268	-0.153863466	-1.068431117	-0.823319923	2.468001988	0.365586148	0.653262666	-0.477294855	-1.117953259	1.669043821	0.244213829	-0.902393588	-1.33442315	-0.704730028
-1.523165155	0.307908216	-1.726602201	-0.307908216	-0.064754379	-0.722302208	-1.044626445	-0.223213218	-0.223213218	0.785662535	1.080563549	0.258273739	2.104600628	-0.902393588	-0.758136008	1.301946185	-0.424507616	0.882109877	-0.785662535
1.403975696	-0.057930049	-0.587206217	1.385954264	-0.209267873	-0.902393588	-0.83291742	0.83291742	-0.160759774	0.902393588	0.223213218	-0.35105981	-1.545263217	-0.336607179	0.653262666	1.825439172	0.023842473	1.385954264	-0.133217035
0.636490883	0.661717677	-1.697120332	0.823319923	-0.160759774	-1.032943298	-0.167663737	1.021399468	-1.130769373	1.211918765	0.188425032	-0.307908216	-0.343824517	2.045954276	-1.301946185	1.669043821	1.697120332	1.825439172	-1.591873889
1.156974916	-0.51582268	-1.143773961	0.286550499	-0.336607179	-0.508057465	-0.286550499	1.946202375	-0.336607179	2.998020796	0.358313528	0.731172307	-0.670220259	2.104600628	0.365586148	0.823319923	0.74010031	-0.51582268	0.09208509
